"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Obesity, Morbid"	"Sapienic acid"	5312419	"27045677"	0.00417351115639641	0.00633405470041007
"Acne Vulgaris"	"Sapienic acid"	5312419	"29241749"	0.0233277452768208	0.0339430717994831
"Colonic Neoplasms"	"Sapienic acid"	5312419	"30769921"	0.0311396744169435	0.0448709469159378
"Fatigue Syndrome, Chronic"	"9E-heptadecenoic acid"	5312440	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"9E-heptadecenoic acid"	5312440	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"9E-heptadecenoic acid"	5312440	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"9E-heptadecenoic acid"	5312440	"29968805"	0.00153083108299856	0.00237292222719608
"Epilepsy, Generalized"	"13Z-octadecenoic acid"	5312441	"27450370"	0.000460336734508848	0.00072819364935399
"Epilepsies, Partial"	"13Z-octadecenoic acid"	5312441	"27450370"	0.000804683110717352	0.00126174263118147
"Seizures"	"13Z-octadecenoic acid"	5312441	"27450370"	0.00519902616428358	0.00785359300424311
"Hemolysis"	"PC(14:0/14:0)"	5459377	"1551918, 2988617, 3729981, 6893690, 7629436, 8535302, 8672433, 10631295, 12525171, 17456030, 18197524, 18214338, 20332436, 20560742, 22975492, 24294925, 25268679, 25511587, 26299817, 28386629, 28947142, 30336115, 30384271, 30529104"	1.81757983066694e-31	4.18546098969937e-31
"Alzheimer Disease"	"PC(14:0/14:0)"	5459377	"8544902, 8624114, 10616756, 14698298, 18186465, 20603101, 24644280, 26646730, 26947182, 27998775, 30379172, 30904408, 31030024, 32092302"	2.18675842426029e-12	4.13118936987285e-12
"Leukemia L1210"	"PC(14:0/14:0)"	5459377	"1423280, 1431876, 1992134, 3779646, 8064554, 9747582, 11106266"	1.04012382132361e-09	1.88331514940688e-09
"Liver Neoplasms"	"PC(14:0/14:0)"	5459377	"2537098, 3038192, 3925093, 19337001, 20471463, 20524517, 21327948, 21628892, 22240027, 23059544, 24583871, 25202047, 30583860"	8.15641330657588e-08	1.42710991614094e-07
"Colonic Neoplasms"	"PC(14:0/14:0)"	5459377	"18294848, 19337001, 20471463, 20714673, 21628892, 21931486, 23123481, 24583871"	1.74569754719684e-05	2.89261599761036e-05
"Lymphoma, Primary Effusion"	"PC(14:0/14:0)"	5459377	"20074798, 20138834"	5.34744195000539e-05	8.73865586473491e-05
"Carcinoma, Ehrlich Tumor"	"PC(14:0/14:0)"	5459377	"3024721, 3351606, 7194801, 19902072"	0.000202776457031311	0.000325019697414249
"Melanoma, Experimental"	"PC(14:0/14:0)"	5459377	"10513636, 11041265, 12607942, 20946006"	0.000211502355695383	0.000338767806858799
"Carcinoma"	"PC(14:0/14:0)"	5459377	"10450957, 19337001, 20714673, 21628892, 23059544, 23123481"	0.000722446810526469	0.00113513141517673
"Tangier Disease"	"PC(14:0/14:0)"	5459377	"10064737, 15654121"	0.00100880911183556	0.00157575101869994
"Neuroblastoma"	"PC(14:0/14:0)"	5459377	"9231332, 18372093, 21327948, 22546530, 23608074"	0.0012295324469815	0.00191420336675984
"Carcinoma, Hepatocellular"	"PC(14:0/14:0)"	5459377	"2537098, 3038192, 8855942, 10450957, 12392725, 22240027"	0.00234496791854613	0.00360400902031221
"Leukemia-Lymphoma, Adult T-Cell"	"PC(14:0/14:0)"	5459377	"8348074, 21632245"	0.00288129455528016	0.00440745666384295
"Acute-Phase Reaction"	"PC(14:0/14:0)"	5459377	"2512983, 26022803"	0.00331917018355785	0.00505987169637131
"Lymphoma"	"PC(14:0/14:0)"	5459377	"3167007, 3167008, 8993232, 16574356"	0.00411144099661281	0.00624116145279757
"Glioblastoma"	"PC(14:0/14:0)"	5459377	"19929006, 28644829, 30682492"	0.00471796770325308	0.00714315602955908
"Liver Neoplasms, Experimental"	"PC(14:0/14:0)"	5459377	"7476432, 11254752, 18197524"	0.0112087609026968	0.0166290564731753
"Stomach Neoplasms"	"PC(14:0/14:0)"	5459377	"10450957, 18294848, 18827469, 20651345"	0.0136029626776618	0.020077719855139
"Anemia, Hemolytic, Congenital"	"PC(14:0/14:0)"	5459377	"2926237"	0.0162668658620149	0.0239000878569535
"Mycoses"	"PC(14:0/14:0)"	5459377	"2069367, 8348074, 9559780"	0.0173869654439846	0.0255014848456288
"Lung Neoplasms"	"PC(14:0/14:0)"	5459377	"10450957, 11964013, 15725570, 18294848, 21048419, 23930203, 26650179"	0.019051142250656	0.0278823504763058
"Colorectal Neoplasms"	"PC(14:0/14:0)"	5459377	"20524517, 23059544, 25202047"	0.0228211284985326	0.0332235006421411
"Protein Aggregation, Pathological"	"PC(14:0/14:0)"	5459377	"28865760"	0.023480325253605	0.0341588945583942
"Erythema"	"PC(14:0/14:0)"	5459377	"18053662, 19432456"	0.0242464121209786	0.0352352177714023
"Foreign-Body Reaction"	"PC(14:0/14:0)"	5459377	"24813921"	0.0314562451452883	0.0453189474567123
"Staphylococcal Skin Infections"	"PC(14:0/14:0)"	5459377	"29184410"	0.0330843078858728	0.0475516456071368
"Abetalipoproteinemia"	"PC(14:0/14:0)"	5459377	"3995074"	0.033490898242395	0.0481175444838291
"Squamous Cell Carcinoma of Head and Neck"	"PC(14:0/14:0)"	5459377	"24533501"	0.0343035690560178	0.0491935025157964
"Epilepsy, Generalized"	"18:1(13E)"	6161490	"27450370"	0.000460336734508848	0.00072819364935399
"Epilepsies, Partial"	"18:1(13E)"	6161490	"27450370"	0.000804683110717352	0.00126174263118147
"Seizures"	"18:1(13E)"	6161490	"27450370"	0.00519902616428358	0.00785359300424311
"Kidney Diseases, Cystic"	"trans-2-hexacosenoic acid"	6441476	"6709009"	9.78668648170533e-05	0.000158684943749551
"Adrenoleukodystrophy"	"trans-2-hexacosenoic acid"	6441476	"6709009"	0.000360053403894112	0.000571801004050898
"Abnormalities, Multiple"	"trans-2-hexacosenoic acid"	6441476	"6709009"	0.000780518452736967	0.0012245413563727
"Brain Diseases"	"trans-2-hexacosenoic acid"	6441476	"6709009"	0.0021784439168494	0.00335326998599185
"Liver Diseases"	"trans-2-hexacosenoic acid"	6441476	"6709009"	0.00510357576526455	0.00771309106521027
"Syndrome"	"trans-2-hexacosenoic acid"	6441476	"6709009"	0.00588046951930465	0.00885808951182641
"Protoporphyria, Erythropoietic"	"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"	6441886	"29906468"	5.55787133528218e-05	9.08008117972311e-05
"Fatigue Syndrome, Chronic"	"SM(d18:1/18:1(9Z))"	6443882	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/18:1(9Z))"	6443882	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/18:1(9Z))"	6443882	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/18:1(9Z))"	6443882	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/18:0)"	6453725	"29968805"	0.00071031519204956	0.00111640425166029
"Irritable Bowel Syndrome"	"SM(d18:1/18:0)"	6453725	"29968805"	0.000712730799468542	0.00112013336881672
"Sleep Wake Disorders"	"SM(d18:1/18:0)"	6453725	"29968805"	0.00158457430434311	0.0024549439293549
"Fatigue"	"SM(d18:1/18:0)"	6453725	"29968805"	0.00305932056896552	0.00467380922457682
"HIV Infections"	"SM(d18:1/18:0)"	6453725	"19935658"	0.0106017900321879	0.0157547131553899
"Fatigue Syndrome, Chronic"	"PE(16:0/18:2(9Z,12Z))"	9546747	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(16:0/18:2(9Z,12Z))"	9546747	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(16:0/18:2(9Z,12Z))"	9546747	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(16:0/18:2(9Z,12Z))"	9546747	"29968805"	0.00153083108299856	0.00237292222719608
"Melanoma, Experimental"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8789804, 9675205, 10811467, 12553031, 17122804, 26325576"	3.16032699136597e-08	5.57521171857438e-08
"Glioma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"7848917, 8548582, 8789795, 9821109, 10595366, 12390727, 12599418"	1.18157122955325e-07	2.06177486431725e-07
"Cystic Fibrosis"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8013599, 8611625, 9349436, 9711593, 10918483"	4.63675866724575e-06	7.79520502274713e-06
"Brain Neoplasms"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"7848917, 8789795, 9144539, 9821109, 10595366, 12599418"	1.95544401545003e-05	3.23600458464821e-05
"Fucosidosis"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"11601762"	0.000260961436400198	0.000416644287830433
"Parkinson Disease, Secondary"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8096625, 10023444"	0.000827686278557222	0.0012970182494877
"Carcinoma, Lewis Lung"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"12553031, 26325576"	0.000972207378737432	0.00151934408242888
"Enzootic Bovine Leukosis"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"9271462"	0.00117379524724104	0.00182898211381878
"Hepadnaviridae Infections"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8778201"	0.00208580328546237	0.00321361445174946
"Neoplasms"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"9538164, 15902277, 21048315, 24995948, 28967206, 29305141, 30339020"	0.00540727397571977	0.0081590137975384
"Neoplasms, Experimental"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8988841, 9044744, 15902277, 23122858"	0.00567426864186886	0.00855401756736039
"Foot-and-Mouth Disease"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"16949709"	0.00585534142621702	0.00882149964284567
"Lung Neoplasms"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8818648, 8818651, 10850418, 11942410, 17122804, 26325576"	0.0067586945411725	0.0101548067344207
"Urinary Bladder Neoplasms"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"9436030, 10625392, 12081782"	0.00834924835337288	0.0124826104780015
"Fabry Disease"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"11601762"	0.00896428802753468	0.0133760263310001
"Ascites"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"12679804, 27631392"	0.00906475110846336	0.0135219433194072
"Melanoma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8789804, 9044744, 18408871"	0.00961441964346186	0.0143194818285137
"Carcinoma, Hepatocellular"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"9059495, 12807905, 20469969, 22864743"	0.00969273275537258	0.0144323768051176
"Neuroblastoma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"7586229, 7848917, 12807905"	0.0130801554831246	0.0193251592343826
"Glioblastoma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8988841, 9144539"	0.0184537513708477	0.0270221293765572
"Precursor B-Cell Lymphoblastic Leukemia-Lymphoma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"9808545"	0.0250016496408143	0.036302547591754
"Carotid Artery Injuries"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"16839271"	0.0270357807357113	0.0391715306701578
"Hepatoblastoma"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8679107"	0.0283049769858683	0.0409464382290527
"Viremia"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"16949709"	0.0305853980660854	0.0441049089068797
"Liver Neoplasms"	"PE(18:1(9Z)/18:1(9Z))"	9546757	"8679107, 9059495, 20469969, 22864743"	0.0310281248804735	0.0447197641436943
"Fatigue Syndrome, Chronic"	"PE(P-18:0/20:4(5Z,8Z,11Z,14Z))"	9547058	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(P-18:0/20:4(5Z,8Z,11Z,14Z))"	9547058	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(P-18:0/20:4(5Z,8Z,11Z,14Z))"	9547058	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(P-18:0/20:4(5Z,8Z,11Z,14Z))"	9547058	"29968805"	0.00153083108299856	0.00237292222719608
"Tuberculosis"	"Tuberculostearic acid"	9601092	"11232844, 14723350, 15305489, 16202138, 16690044, 19631943, 21521247, 22253841"	4.38516994227547e-18	8.87454244327955e-18
"Tuberculosis, Pleural"	"Tuberculostearic acid"	9601092	"19277111"	0.00153580033571199	0.00238043940211645
"Pleural Effusion, Malignant"	"Tuberculostearic acid"	9601092	"19277111"	0.00337301580362237	0.00514016998900657
"Nocardia Infections"	"Tuberculostearic acid"	9601092	"19915112"	0.00442764998314582	0.00671135087061319
"Pneumonia, Bacterial"	"Tuberculostearic acid"	9601092	"19915112"	0.0103893984132799	0.0154455732494571
"Pleural Effusion"	"Tuberculostearic acid"	9601092	"19277111"	0.0126273523099983	0.0186749681314936
"Sarcoidosis"	"Tuberculostearic acid"	9601092	"22461752"	0.0283330705322892	0.0409853478241714
"Tuberculosis, Pulmonary"	"Tuberculostearic acid"	9601092	"15865185"	0.0322235507347065	0.0463750739509725
"Fatigue Syndrome, Chronic"	"SM(d18:1/16:0)"	9939941	"29968805"	0.00142012755136089	0.00220464456645074
"Irritable Bowel Syndrome"	"SM(d18:1/16:0)"	9939941	"29968805"	0.00142495533450471	0.00221194488171916
"Sleep Wake Disorders"	"SM(d18:1/16:0)"	9939941	"29968805"	0.00316664155445778	0.00483312267310816
"Dehydration"	"SM(d18:1/16:0)"	9939941	"31822068"	0.00413540129069034	0.00627701028863655
"Fatigue"	"SM(d18:1/16:0)"	9939941	"29968805"	0.00610928906009112	0.00919726676098716
"Non-alcoholic Fatty Liver Disease"	"SM(d18:1/16:0)"	9939941	"24358308"	0.0073402763364353	0.0110070228857633
"Precancerous Conditions"	"SM(d18:1/16:0)"	9939941	"9200154"	0.00751329216990793	0.011260325368999
"Fatty Liver"	"SM(d18:1/16:0)"	9939941	"24358308"	0.0159777245564611	0.0234843333257106
"Weight Gain"	"SM(d18:1/16:0)"	9939941	"9200154"	0.0187871333046292	0.0275045117611991
"Colonic Neoplasms"	"SM(d18:1/16:0)"	9939941	"9200154"	0.0249902820672588	0.0362864309987321
"Fatigue Syndrome, Chronic"	"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	10415542	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	10415542	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	10415542	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	10415542	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/14:0)"	11433862	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/14:0)"	11433862	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/14:0)"	11433862	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/14:0)"	11433862	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"	11757087	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"	11757087	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"	11757087	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"	11757087	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PC(18:0/20:4(5Z,8Z,11Z,14Z))"	16219824	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(18:0/20:4(5Z,8Z,11Z,14Z))"	16219824	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(18:0/20:4(5Z,8Z,11Z,14Z))"	16219824	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(18:0/20:4(5Z,8Z,11Z,14Z))"	16219824	"29968805"	0.00153083108299856	0.00237292222719608
"Gastritis"	"Dihydrosterculic acid"	21677595	"3981612"	0.00460265952361738	0.00697157563405917
"Stomach Neoplasms"	"Dihydrosterculic acid"	21677595	"9667658"	0.0207249218623465	0.0302536588762786
"Tuberculosis, Pulmonary"	"16:1(9Z)(15Me)"	23815282	"28607021"	0.00272577342008451	0.00417522271493471
"Pythiosis"	"26-Hexacosanolide"	24770810	"22196692"	2.05399592825284e-05	3.39792420207906e-05
"Carcinoma, Ehrlich Tumor"	"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"	24779076	"3351606"	0.0080690096143603	0.0120739870510685
"Thrombosis"	"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"	24779076	"3175989"	0.0187009567839291	0.0273797586110304
"Multiple Myeloma"	"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"	24779076	"10585369"	0.0189508577053334	0.0277392630693837
"Leukemia, Promyelocytic, Acute"	"PC(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"	24779076	"1576167"	0.0192661362053554	0.0281894446930135
"Fatigue Syndrome, Chronic"	"PC(16:1(9Z)/0:0)"	24779461	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(16:1(9Z)/0:0)"	24779461	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(16:1(9Z)/0:0)"	24779461	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(16:1(9Z)/0:0)"	24779461	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/12:0)"	44260123	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/12:0)"	44260123	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/12:0)"	44260123	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/12:0)"	44260123	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PC(20:2(11Z,14Z)/0:0)"	52924053	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(20:2(11Z,14Z)/0:0)"	52924053	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(20:2(11Z,14Z)/0:0)"	52924053	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(20:2(11Z,14Z)/0:0)"	52924053	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PE(P-18:0/18:2(9Z,12Z))"	52925079	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(P-18:0/18:2(9Z,12Z))"	52925079	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(P-18:0/18:2(9Z,12Z))"	52925079	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(P-18:0/18:2(9Z,12Z))"	52925079	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))"	52925089	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))"	52925089	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))"	52925089	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))"	52925089	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))"	52925126	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))"	52925126	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))"	52925126	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))"	52925126	"29968805"	0.00153083108299856	0.00237292222719608
"Hemolysis"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"17114219, 21192916, 23962023, 25306964, 26126210"	3.97124017218445e-09	7.12172475956038e-09
"Parkinson Disease"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"18082181, 25909158, 28527044"	9.47250102414586e-06	1.5808038354772e-05
"Drug Overdose"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"19156930, 20213834"	5.77340698931434e-05	9.42680260746175e-05
"Escherichia coli Infections"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"21029518, 26368853"	0.000343463142250426	0.000545976447739904
"Respiratory Distress Syndrome, Newborn"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"24140177"	0.0109618763591885	0.0162727707853708
"Leukemia L1210"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"9414104"	0.0198745791996894	0.0290557230755266
"Neurodegenerative Diseases"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"15955063"	0.0230007110156004	0.0334784261857234
"Pulmonary Edema"	"PG(18:1(9Z)/18:1(9Z))"	52927248	"24140177"	0.0231803444900741	0.0337324978874458
"Fatigue Syndrome, Chronic"	"SM(d18:2/14:0)"	52931131	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:2/14:0)"	52931131	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:2/14:0)"	52931131	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:2/14:0)"	52931131	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/15:0)"	52931139	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/15:0)"	52931139	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/15:0)"	52931139	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/15:0)"	52931139	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:2/18:1)"	52931155	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:2/18:1)"	52931155	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:2/18:1)"	52931155	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:2/18:1)"	52931155	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/20:1)"	52931179	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/20:1)"	52931179	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/20:1)"	52931179	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/20:1)"	52931179	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:1/21:0)"	52931193	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:1/21:0)"	52931193	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:1/21:0)"	52931193	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:1/21:0)"	52931193	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d17:1/24:1)"	52931207	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d17:1/24:1)"	52931207	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d17:1/24:1)"	52931207	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d17:1/24:1)"	52931207	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"SM(d18:2/24:1)"	52931215	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"SM(d18:2/24:1)"	52931215	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"SM(d18:2/24:1)"	52931215	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"SM(d18:2/24:1)"	52931215	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"PC(20:4(8Z,11Z,14Z,17Z)/0:0)"	53480469	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PC(20:4(8Z,11Z,14Z,17Z)/0:0)"	53480469	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PC(20:4(8Z,11Z,14Z,17Z)/0:0)"	53480469	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PC(20:4(8Z,11Z,14Z,17Z)/0:0)"	53480469	"29968805"	0.00153083108299856	0.00237292222719608
"Fatigue Syndrome, Chronic"	"9-Decenoylcarnitine"	53481651	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"9-Decenoylcarnitine"	53481651	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"9-Decenoylcarnitine"	53481651	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"9-Decenoylcarnitine"	53481651	"29968805"	0.00153083108299856	0.00237292222719608
